dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
breast_cancer,model_2layers_20neurons.h5,64,0.5371973514556885,25,"[0.1481931209564209, 0.2003486156463623, 0.21810150146484375, 0.15357017517089844, 0.20521807670593262, 0.15545988082885742, 0.3757741451263428, 0.896467924118042, 1.1214313507080078, 0.5841970443725586]","[0, 0, 0, 0, 0, 0, 0, 1, 11, 25]"
breast_cancer,model_2layers_20neurons.h5,65,0.6126859188079834,23,"[0.1851198673248291, 0.14942312240600586, 0.17014384269714355, 0.13834357261657715, 0.15720105171203613, 0.20568633079528809, 0.4714629650115967, 0.8214774131774902, 0.725287675857544, 0.6951944828033447]","[0, 0, 0, 0, 0, 0, 1, 6, 17, 23]"
breast_cancer,model_2layers_20neurons.h5,66,0.6000244617462158,22,"[0.17696571350097656, 0.14284038543701172, 0.17357945442199707, 0.1441659927368164, 0.14949536323547363, 0.19324231147766113, 0.7391543388366699, 0.900233268737793, 0.7736027240753174, 0.6882674694061279]","[0, 0, 0, 0, 0, 0, 0, 4, 15, 22]"
breast_cancer,model_2layers_20neurons.h5,67,0.6517338752746582,22,"[0.1477065086364746, 0.13801240921020508, 0.1677558422088623, 0.155259370803833, 0.18872737884521484, 0.2144474983215332, 0.274341344833374, 0.6797053813934326, 0.7373332977294922, 0.6971745491027832]","[0, 0, 0, 0, 0, 0, 0, 1, 15, 22]"
breast_cancer,model_2layers_20neurons.h5,68,0.5650413036346436,22,"[0.17819595336914062, 0.14301681518554688, 0.16304636001586914, 0.14286088943481445, 0.15361237525939941, 0.22268342971801758, 0.3000655174255371, 0.5954229831695557, 0.9394702911376953, 0.6234276294708252]","[0, 0, 0, 0, 0, 0, 0, 3, 5, 22]"
breast_cancer,model_2layers_20neurons.h5,69,0.5602786540985107,27,"[0.14304542541503906, 0.16037845611572266, 0.2001051902770996, 0.13861870765686035, 0.16548991203308105, 0.41332125663757324, 0.5122475624084473, 0.8423144817352295, 0.6185688972473145, 0.5973653793334961]","[0, 0, 0, 0, 9, 14, 14, 19, 24, 27]"
breast_cancer,model_2layers_20neurons.h5,70,1.303828477859497,22,"[0.1549520492553711, 0.14266586303710938, 0.14089107513427734, 0.16941356658935547, 0.20512700080871582, 0.8629107475280762, 1.3690779209136963, 1.4838054180145264, 1.2816710472106934, 1.2096271514892578]","[0, 0, 0, 0, 5, 11, 13, 18, 22, 22]"
breast_cancer,model_2layers_20neurons.h5,71,0.2777645587921142,29,"[0.14583826065063477, 0.17949604988098145, 0.1918032169342041, 0.16164684295654297, 0.19085216522216797, 0.2602989673614502, 0.349346399307251, 0.31232309341430664, 0.3077507019042969, 0.275529146194458]","[0, 0, 0, 1, 13, 13, 20, 25, 26, 29]"
breast_cancer,model_2layers_20neurons.h5,72,0.3607361316680908,28,"[0.17158865928649902, 0.13989830017089844, 0.14103388786315918, 0.1468827724456787, 0.18438506126403809, 0.30268359184265137, 0.6021387577056885, 0.43737173080444336, 0.5633985996246338, 0.29894399642944336]","[0, 0, 0, 0, 1, 2, 7, 16, 22, 28]"
breast_cancer,model_2layers_20neurons.h5,73,0.5504434108734131,22,"[0.14252042770385742, 0.141129732131958, 0.18830633163452148, 0.1866593360900879, 0.16768789291381836, 0.2517576217651367, 0.33610010147094727, 0.7228653430938721, 0.6852352619171143, 0.6243586540222168]","[0, 0, 0, 0, 0, 0, 0, 3, 14, 22]"
breast_cancer,model_2layers_20neurons.h5,74,0.9115667343139648,24,"[0.17473459243774414, 0.14519500732421875, 0.185713529586792, 0.1812300682067871, 0.17679643630981445, 0.4967062473297119, 0.7995133399963379, 1.0624024868011475, 0.9467165470123291, 0.9467718601226807]","[0, 0, 0, 0, 1, 13, 16, 17, 22, 24]"
